id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
958,"Bright, Modern Garden Unit - 1BR/1BTH",1169,Holly,,Western Addition,37.77028,-122.43317,Entire home/apt,180,2,358,2022-08-21,2.24,1,140,60,City Registration Pending
5858,Creative Sanctuary,8904,Philip And Tania,,Bernal Heights,37.74474,-122.42089,Entire home/apt,235,30,111,2017-08-06,0.68,1,365,0,
8014,room in FEMALE house WIFI market nearby,22402,Jia,,Outer Mission,37.73077,-122.44827,Private room,61,2,86,2022-09-04,0.70,3,5,1,STR-0000974
8142,Friendly Room Apt. Style -UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76555,-122.45213,Private room,56,32,8,2018-09-12,0.08,12,297,0,
8339,Historic Alamo Square Victorian,24215,Rosy,,Western Addition,37.77564,-122.43642,Entire home/apt,895,7,28,2019-06-28,0.18,2,351,0,STR-0000264
8739,"Mission Sunshine, with Private Bath",7149,Ivan & Wendy,,Mission,37.7603,-122.42197,Private room,141,1,753,2022-08-31,4.72,2,160,17,STR-0000028
148627,Romantic Marina Garden Studio,709325,Mark,,Marina,37.79961,-122.42771,Entire home/apt,85,30,116,2022-08-06,0.88,5,272,4,
494111,Comfortable space of your own in SF,252927,Vivian,,Outer Richmond,37.77988,-122.48488,Entire home/apt,146,3,211,2022-08-23,1.72,2,323,26,STR-0005156
10578,Classic Nob Hill Studio - Roof Deck,37049,Andrew,,Nob Hill,37.79249,-122.41499,Entire home/apt,120,30,18,2015-05-17,0.14,1,271,0,
501770,Contemporary Home with Mid-Century Modern Design,2475480,Arthur,,Haight Ashbury,37.77252,-122.43846,Entire home/apt,220,30,109,2022-08-01,0.88,5,346,3,
148769,Ground Floor Studio with Garage Parking,709325,Mark,,Twin Peaks,37.75045,-122.44956,Entire home/apt,70,30,95,2022-05-07,0.95,5,268,3,STR-0000672
12041,Sunny/Sunset view room UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76901,-122.44701,Private room,65,32,7,2022-06-11,0.05,12,365,1,
150347,Cute Private 2Br Apt in the Mission with Parking!,172182,Brian & Leah,,Mission,37.75981,-122.4188,Entire home/apt,149,30,130,2022-06-11,0.96,2,235,1,
503362,"Million Dollar Penthouse, Remodeled",2475480,Arthur,,Haight Ashbury,37.77265,-122.43857,Entire home/apt,350,30,115,2018-07-07,0.93,5,30,0,
12042,Sunny/Sunset view room UCSF/USF - San Francisco*,21994,Aaron,,Haight Ashbury,37.76932,-122.44723,Private room,65,32,5,2015-10-18,0.04,12,342,0,
504146,★ Iconic Marina Waterfront ★ Walk/Bike Score 94+,2486135,Laura,,Marina,37.80489,-122.43746,Entire home/apt,296,2,108,2022-09-03,0.89,1,78,12,STR-0000323
12522,Perfectly located Castro,18431,Brenda,,Castro/Upper Market,37.76237,-122.42992,Private room,99,3,435,2022-08-29,2.82,1,7,8,STR-0000057
150848,SF Urban Haven & Secret Garden,726513,Nancy,,Potrero Hill,37.76276,-122.39357,Private room,85,3,243,2022-07-15,1.81,2,71,6,STR-0000015
18904,Lower Haight Urban Zen With Private Bath,72464,Patrick,,Western Addition,37.77247,-122.43301,Private room,121,3,429,2022-09-03,3.27,1,40,15,STR-0000094
166199,Castro Cottage w/ Secret Garden,792371,Matt,,Castro/Upper Market,37.76241,-122.43026,Entire home/apt,170,30,159,2019-07-08,1.18,1,78,0,City registration pending
505530,Come stay in Bernal Heights!!,698337,Emily,,Bernal Heights,37.74154,-122.4086,Entire home/apt,220,30,13,2022-08-19,0.12,1,98,3,City registration pending
519796,Lrg Sunny Flat/1 Blk fr Lombard St,2019559,Suzette,,Russian Hill,37.801,-122.42436,Entire home/apt,126,31,79,2018-12-08,0.63,1,247,0,1025574
21334,Studio loft on top of Russian Hill,81455,Joe,,Nob Hill,37.7962,-122.41562,Entire home/apt,250,30,124,2022-07-01,0.83,1,360,4,City registration pending
